Bait.Accession,Prey.Accession,SAINT_24,X24HPI,SAINT_48,X48HPI,SAINT_72,X72HPi,SAINT_96,X96HPI,SAINT_120,X120HPI
P16755,Q6NZI2,0,66796.54072,0.02,38649.52458,0.49,31298.40118,0.96,20785.30221,0.95,24842.82097
P16755,O00165,0.8,8052.683284,0.56,10354.14424,0.94,7677.537604,0.8,12600.13225,0.96,14264.40395
P16755,P55084,0.51,55094.47858,0.13,63926.0563,0.98,31754.71981,1,52349.48239,0.63,44405.073
P16755,Q07020,0,9898.238441,0.01,5473.060879,0.93,10086.02539,0.9,5663.095225,0.89,7717.88028
P16755,Q96EY1,0.99,39049.15923,0.77,43636.59425,0.93,40099.39735,1,52274.19757,0.67,39012.08884
P16755,P62269,0,21233.53141,0,14035.53318,0.81,13722.36517,0.95,8867.66428,0.42,12532.01297
P16755,Q07021,0.58,5816.059651,0.58,7056.782149,0.48,3949.414184,0.81,3085.035924,0.99,6930.301825
P16755,Q9UJZ1,0.57,3209.068147,0.36,3452.503843,0.47,2809.927938,0.91,3036.623308,0.91,4341.59431
P16755,P40939,0.76,87257.53322,0.21,86464.87948,1,62695.16283,0.99,99396.28691,0.46,97978.98273
P16755,Q9Y6N5,0.31,174882.2504,0.46,299468.4558,0.95,231393.3914,1,309032.1113,0.86,239978.4395
P16755,Q9UJS0,0.87,55622.90566,0.45,99629.64499,1,104769.867,0.92,167582.4796,0.23,169989.7021
P16755,Q9NVI7,0.8,172440.0095,0.92,196032.4883,1,160465.0465,1,222439.6494,1,173371.5476
P16755,O96008,0.64,17573.99486,0.61,51756.98882,1,49196.80017,1,59448.02608,0.86,74591.68299
P16755,O75746,0.7,11726.73133,0.51,17437.7978,1,15768.32158,0.94,21458.4395,0.96,20685.48088
P16755,Q9Y277,0,17409.93083,0.12,32026.79544,1,18687.65167,1,26091.81231,0.61,29142.5937
P16755,Q16891,0.98,32709.8084,0.84,69782.6875,1,51253.7703,1,57357.24699,1,60699.1071
P16755,O14879,0.08,87776.14868,0.27,94706.55968,0.98,48322.73042,0.96,26113.17767,0.95,30527.89187
P16755,Q6NUK1,0.36,32247.91948,0.11,21639.8797,0.99,13874.71516,0.88,13387.26222,0.63,13780.76991
P16755,P35232,0.55,29663.89651,0.07,20618.36511,0.85,13630.60468,0.94,14103.79226,0.77,16103.82694
P16755,P42704,0.69,41404.49945,0.18,53336.93853,0.95,36109.29133,0.95,33493.18657,0.97,27505.09329
P16755,P00403,0.06,7595.485449,0.52,13888.35246,0.35,10694.92478,0.35,14609.15692,0.97,14166.7658
P16755,P31040,0.3,7682.811298,0.02,9079.037486,0.45,5521.683026,0.95,8015.436582,0.09,9481.050925
P16755,O00743,0.58,5466.887879,0.63,7250.740337,0.97,6086.991829,0.92,4625.034123,0.8,6309.723701
P16755,Q5T160,0.33,3953.525971,0.3,4187.531466,0.91,3807.278825,0.39,5328.724795,0.88,4667.093318
P16755,P36542,0.11,14106.6287,0.29,14407.14991,0.8,8764.746371,0.91,13906.43299,0.93,16057.1948
P16755,Q5SRD1,0,5605.435662,0.01,9770.220428,0.93,7127.951604,0.57,10377.07855,0.8,8510.684608
P16755,Q9NX63,0.37,6745.805345,0.57,17000.11055,0.79,15269.8976,0.87,14908.8104,0.94,14286.45173
P16755,Q9UBX3,0.49,4301.588297,0.31,3556.612782,0.94,5000.943247,0.82,5780.80457,0.96,5488.088507
P16755,Q14318,0,2934.197221,0.28,3683.132971,0.35,2356.974592,0.95,3092.480272,0.9,2484.354325
P16755,P16755,1,7063245.044,1,7063245.044,1,7063245.044,1,7063245.044,1,7063245.044
P16755,P16778,0.23,11529.7569,0.36,13314.86876,0.68,10044.43542,0.72,13777.21636,0.96,15539.90379
P16755,P16837,NA,NA,NA,603.342911,0.4,2513.450825,0.89,6042.406389,0.94,9476.160545
P16755,P16810,NA,NA,0,8538.937411,0,31369.6297,0.73,33774.31043,0.95,31939.00154
P16755,P16761,0,5731.73026,0,35171.53741,0.44,42290.89615,0,45105.65494,1,59312.39024
P16755,F5HAZ3,0.68,39344.61599,0.4,75811.68336,0.99,57703.33796,0.96,64324.74118,0.93,73785.80201
P16755,F5HAY6,1,36534.81607,0.85,34456.48206,0.96,18849.65637,0.91,13830.28077,0.9,21195.69735
P16755,F5H8S6,0.55,15098.79345,0.3,16287.87198,0.95,23490.48032,0.91,24149.66625,0.97,28445.53056
P16755,F5HGU6,NA,1356.171727,NA,1217.567183,0.64,6871.811588,0.96,22269.11851,0.04,29943.64415
P16755,F5HEA3,0.24,3862.691613,NA,4784.479193,0.94,7643.370682,0.76,16739.67079,0.6,16731.68535
P16755,F5HCH8,NA,NA,NA,827.0482281,0.73,6600.793378,0.91,17944.13712,0.9,22199.37447
P16755,F5HGT1,NA,1273.005858,NA,3750.931215,0,34495.43927,0,53832.9538,0.99,111447.6236
P16755,B9VXM8,NA,6359.542582,NA,10085.25964,0.48,10969.36794,0.88,13001.08963,0.95,11710.03857
P16778,P16810,NA,NA,NA,2382.754126,0.43,27880.43908,0.5,24346.2919,0.9,16682.69213
P16778,P16755,0.93,98226.98749,0.99,105897.3877,0.99,72311.54319,0.98,63789.08795,0.97,33263.32294
P16778,P16837,NA,1600.699286,NA,2394.0721,0.27,10502.31846,0.96,41481.70275,0.98,57084.49593
P16778,P16778,1,20972123.66,1,20972123.66,1,20972123.66,1,20972123.66,1,20972123.66
P16778,P16761,0,69746.41033,0.1,582795.8906,0,268534.856,1,1028348.191,0.01,281863.9718
P16778,F5HAZ3,NA,24124.38107,0.74,118526.6866,0.95,83654.01318,0.95,94462.07972,0.99,44713.76824
P16778,F5HAY6,0.24,43113.71655,0.93,58189.99265,0.86,20194.80897,0.99,28518.71825,0.96,12576.15154
P16778,F5HEA3,NA,9324.309623,0.68,31400.2606,1,116966.7394,1,219634.9538,0.93,180212.0507
P16778,F5HGU6,NA,NA,NA,1533.99038,0.97,15138.1394,1,39350.63813,0.97,60387.28274
P16778,F5H8S6,NA,12815.17412,0.67,34291.3661,0.99,32595.86084,0.87,35775.04207,0.97,16767.28889
P16778,F5HCH8,NA,1077.702028,NA,1381.890129,0.42,8264.66352,0.99,48092.29341,1,75926.59167
P16778,F5HGT1,NA,1332980.925,0.48,420448.2709,0,346612.7701,1,1617261.254,0,579679.584
P16778,B9VXM8,NA,69005.8289,0.12,104911.8567,0.34,117778.8287,0.44,113101.7985,0.94,60052.28816
P16778,Q07020,0,42304.58022,0.47,156802.9984,0.35,13257.65506,0.96,41653.8589,0.09,7537.244585
P16778,O14879,0.78,224759.511,0.96,413495.2399,0.99,102299.0561,1,103021.2117,0.46,19444.4642
P16778,Q9Y6N5,0.2,186521.5452,0.07,171089.3684,0.72,192830.5486,0.96,176012.8376,0.77,115229.7324
P16778,Q96EY1,NA,19356.95424,0.26,32402.62851,0.92,27354.54845,0.74,36065.59624,0.58,20862.56442
P16778,P00403,0.84,28325.1769,0.46,22788.52229,0.74,30556.24622,0.97,39535.05025,0.79,23997.22531
P16778,Q14318,0.67,55254.13443,0.96,71101.59156,1,70680.68629,1,68669.12933,0.99,27281.48176
P16778,P62269,0.32,66710.59091,0.48,540821.6262,0,28973.24467,0.9,91657.44844,0,17635.20505
P16778,O75746,0,14039.37136,0.45,14472.4555,0.69,14724.897,0.64,16911.2283,0.91,14220.89323
P16778,P42704,1,678678.674,1,754604.9586,1,926090.1396,1,804461.5977,1,620649.8971
P16778,O00165,0,3988.210889,NA,8672.47625,0.39,5998.021951,0,7271.077599,0.95,6151.32694
P16778,P35232,0,204273.6814,0.04,80170.05092,0.84,84283.87541,0.99,109616.064,1,78064.44098
P16778,P31040,0.09,8490.383295,0.37,10582.7818,0.93,5094.002665,0.94,8150.096155,0.88,4863.775668
P16778,Q5SRD1,0,7339.575678,0,10385.17391,0.82,11396.13416,0.9,14098.33551,0.85,7457.678073
P16778,P40939,1,4211042.234,0.99,6719552.148,1,8201286.208,1,8321644.887,1,5985113.259
P16778,Q6NUK1,0.46,15560.86024,0.01,14605.13069,0.92,8065.052903,0.88,7857.036889,0,4021.937687
P16778,Q07021,NA,37423.97389,0.77,25878.15195,0.93,17765.35153,0.97,20715.09275,0.98,23888.46644
P16778,Q9UBX3,0,24557.59036,0.51,34971.70091,0.99,35785.4182,0.99,41566.54665,0.97,29316.08386
P16778,O00743,NA,11023.70241,0,21089.56685,0.91,11478.93255,0.97,15110.5066,0.41,7881.501704
P16778,Q9UJS0,0,95015.39213,0.62,108892.7176,0.61,133057.7251,0.45,166830.6527,0.96,124938.0981
P16778,P36542,0,29045.36247,0,22812.96052,0.82,20612.31639,0.93,21163.19712,0.1,15397.14548
P16778,Q9NX63,0.84,134335.3252,0.99,418124.2195,0.99,270905.186,0.99,252364.4713,0.89,147442.3099
P16778,P55084,0.88,2320543.691,1,3893415.416,1,4241567.41,1,4466973.298,1,2858269.679
P16778,Q9Y277,0.98,927010.1426,0.83,1017570.401,0.99,913426.2921,0.99,989306.6754,1,628459.02
P16778,Q6NZI2,0,229249.2593,0.5,948555.9598,0.05,86857.62505,1,230253.9606,0.01,25176.40778
P16778,Q9NVI7,0.94,97616.17592,0.96,181388.1596,1,159731.8616,0.99,197671.95,1,99279.94882
P16778,Q9UJZ1,0.73,76353.86541,0.99,84770.82166,0.99,84590.07152,1,144881.4863,1,77017.74597
P16778,O96008,0.91,66163.95913,0.86,70683.81561,1,106155.9247,1,108520.5129,1,80402.00915
P16778,Q16891,1,504183.2062,1,1143901.956,1,618702.3594,1,780480.4371,1,388410.4423
P16778,Q5T160,0,7646.513192,0.61,8505.750403,0.96,8283.34581,0.95,7599.689504,0.91,6341.454178
